num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
4,2.75,0.1875,3,2,745,52,4866,123,9288,63,Sat
1,4.0,0.0,4,4,745,52,0,92,651,58,Sat
2,3.0,0.0,3,3,745,52,24650,2476431,2505433,54,Sat
3,3.3333333,0.88888884,4,2,745,52,10560,342,21458,67,Sat
1,4.0,0.0,4,4,745,52,15095,259,25392,64,Sat
2,2.5,0.25,3,2,360,151,0,175,1269,157,Sat
2,2.5,0.25,3,2,360,151,14070,112,21620,158,Unsat
1,3.0,0.0,3,3,360,151,10286,126,14708,155,Sat
1,3.0,0.0,3,3,360,151,0,101,666,155,Sat
1,3.0,0.0,3,3,340,225,3425,146,7547,241,Unsat
1,2.0,0.0,2,2,340,225,3498,146,7547,231,Unsat
1,1.0,0.0,1,1,160,91,2495,159,6438,93,Unsat
3,2.6666667,0.22222221,3,2,135,12,2489,130,6367,14,Unsat
1,3.0,0.0,3,3,135,12,2709,2099871,2106299,15,Unsat
2,2.0,0.0,2,2,186,86,3065,161,7477,92,Unsat
4,2.0,0.0,2,2,151,93,5555,133,9668,96,Unsat
1,3.0,0.0,3,3,206,114,5361,223,9467,121,Unsat
1,2.0,0.0,2,2,206,114,4149,133,8494,119,Unsat
1,1.0,0.0,1,1,272,90,6488,108,10586,97,Unsat
1,4.0,0.0,4,4,261,156,7311,138,11479,162,Unsat
2,3.0,1.0,4,2,261,156,7291,142,11519,160,Unsat
1,4.0,0.0,4,4,261,156,0,101,663,162,Sat
1,4.0,0.0,4,4,261,156,0,87,629,159,Sat
1,3.0,0.0,3,3,261,156,11742,157,15930,160,Unsat
1,3.0,0.0,3,3,429,25,3207,137,7297,32,Sat
12,3.6666667,0.38888898,4,2,429,25,2822,170,7214,30,Unsat
3,2.6666667,0.22222221,3,2,429,25,3811,132,7969,51,Sat
1,4.0,0.0,4,4,429,25,8207,130,12335,30,Sat
2,4.0,0.0,4,4,429,25,4435,203,8665,28,Sat
9,2.5555556,0.4691357,3,1,468,73,3920,126,8315,81,Unsat
3,2.6666667,0.22222221,3,2,468,73,3310,161,7628,82,Sat
1,2.0,0.0,2,2,468,73,2971,269,7333,77,Sat
13,3.0,0.15384616,4,2,326,30,3457,156,7767,39,Unsat
4,2.5,0.25,3,2,326,30,3626,127,7840,41,Sat
1,3.0,0.0,3,3,326,30,4048,108,8126,34,Sat
2,3.0,0.0,3,3,326,30,3867,41196817,41204661,32,Sat
1,2.0,0.0,2,2,302,28,6097,299,15498,35,Unsat
1,3.0,0.0,3,3,302,28,5101,256,13302,32,Unsat
1,1.0,0.0,1,1,137,20,2476,148,6835,22,Unsat
