original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
32,5,8,9,3,10,10,2,1,4,1,3,17
56,7,6,9,12,34,56,7,6,9,12,34,0
34,5,8,9,3,12,9,2,1,4,1,2,14
54,7,6,9,12,32,54,7,6,9,12,32,0
55,7,6,9,12,33,55,7,6,9,12,33,0
37,5,8,9,4,15,9,2,1,4,1,2,17
55,7,6,9,12,33,55,7,6,9,12,33,0
37,5,8,9,4,15,10,2,1,4,1,3,20
58,7,6,9,13,36,58,7,6,9,13,36,0
55,7,6,9,12,33,55,7,6,9,12,33,0
37,5,8,9,4,15,9,2,1,4,1,2,15
33,5,8,9,3,11,9,2,1,4,1,2,14
37,5,8,9,4,15,10,2,1,4,1,3,17
56,7,6,9,12,34,56,7,6,9,12,34,0
37,5,8,9,4,15,9,2,1,4,1,2,17
34,5,8,9,3,12,9,2,1,4,1,2,15
37,5,8,9,4,15,10,2,1,4,1,3,18
58,7,6,9,13,36,58,7,6,9,13,36,0
37,5,8,9,4,15,10,2,1,4,1,3,17
58,7,6,9,13,36,58,7,6,9,13,36,0
55,7,6,9,12,33,55,7,6,9,12,33,0
12,4,3,1,1,4,6,2,1,0,1,3,16
54,7,6,9,12,32,54,7,6,9,12,32,0
57,7,6,9,12,35,57,7,6,9,12,35,0
55,7,6,9,12,33,55,7,6,9,12,33,0
55,7,6,9,12,33,55,7,6,9,12,33,0
58,7,6,9,13,36,58,7,6,9,13,36,0
57,7,6,9,12,35,57,7,6,9,12,35,0
54,7,6,9,12,32,54,7,6,9,12,32,0
61,7,6,9,14,39,61,7,6,9,14,39,0
58,7,6,9,13,36,58,7,6,9,13,36,0
55,7,6,9,12,33,55,7,6,9,12,33,0
55,7,6,9,12,33,55,7,6,9,12,33,0
55,7,6,9,12,33,55,7,6,9,12,33,0
58,7,6,9,13,36,58,7,6,9,13,36,0
59,7,6,9,13,37,59,7,6,9,13,37,0
61,7,6,9,14,39,61,7,6,9,14,39,0
58,7,6,9,13,36,58,7,6,9,13,36,0
55,7,6,9,12,33,55,7,6,9,12,33,0
12,4,3,1,1,4,8,3,2,0,1,3,12
12,4,3,1,1,4,8,3,2,0,1,3,14
12,4,3,1,1,4,6,2,1,0,1,3,16
16,3,4,0,3,9,5,2,1,0,1,2,13
22,3,4,0,5,15,8,3,3,0,1,2,11
19,3,4,0,4,12,8,3,3,0,1,2,10
12,3,4,0,2,5,5,2,1,0,1,2,12
21,3,4,0,5,14,5,2,1,0,1,2,16
16,3,4,0,3,9,8,3,3,0,1,2,10
16,3,4,0,3,9,5,2,1,0,1,2,15
17,3,4,0,3,10,5,2,1,0,1,2,13
13,3,4,0,2,6,5,2,1,0,1,2,13
16,3,4,0,3,9,5,2,1,0,1,2,12
18,3,4,0,4,11,5,2,1,0,1,2,15
21,3,4,0,5,14,5,2,1,0,1,2,16
19,3,4,0,4,12,5,2,1,0,1,2,15
21,3,4,0,5,14,5,2,1,0,1,2,13
14,3,4,0,2,7,8,3,3,0,1,2,9
21,3,4,0,4,14,5,2,1,0,1,2,16
17,3,4,0,3,10,5,2,1,0,1,2,14
16,3,4,0,3,9,5,2,1,0,1,2,13
20,3,4,0,4,13,5,2,1,0,1,2,16
16,4,5,5,1,2,9,3,1,3,1,2,7
22,5,4,3,3,10,8,2,1,2,1,3,16
21,3,4,0,5,14,8,3,3,0,1,2,11
