num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
13,3.7692308,0.6390532,4,1,1934,2214,685,4148,4836,true
1,2.0,0.0,2,2,485,146,206,631,841,false
13,3.8461537,0.28402367,4,2,82,408,329,490,822,true
1,1.0,0.0,1,1,202,150,1029,352,1384,false
1,2.0,0.0,2,2,101,90,186,191,380,false
5,1.8,0.55999994,3,1,136,382,276,518,797,true
2,1.5,0.25,2,1,1238,718,248,1956,2207,true
6,3.0,1.3333334,4,1,355,2932,443,3287,3734,true
3,4.0,0.0,4,4,248,500,489,748,1242,false
2,3.0,0.0,3,3,323,271,1412,594,2009,false
1,2.0,0.0,2,2,131,29,185,160,349,false
1,1.0,0.0,1,1,57,95,148,152,304,false
2,3.0,1.0,4,2,1159,1582,323,2741,3067,false
1,1.0,0.0,1,1,389,161,187,550,740,true
40,4.0,0.0,4,4,144,1724,1202,1868,3073,true
1,4.0,0.0,4,4,46,414,170,460,634,true
3,3.0,0.6666667,4,2,360,357,197,717,917,true
4,2.5,0.75,3,1,26,77,174,103,281,false
9,3.1111112,0.9876544,4,1,44,160,220,204,426,true
3,2.3333333,0.22222221,3,2,531,418,284,949,1236,true
1,1.0,0.0,1,1,155,90,252,245,501,false
1,1.0,0.0,1,1,59,96,221,155,379,false
289,3.9965398,0.0034482423,4,3,38,3380,3318,3418,6739,true
5,3.8,0.16,4,3,132,88,181,220,404,true
1,2.0,0.0,2,2,118,32,158,150,310,false
2,2.5,2.25,4,1,276,285,628,561,1192,true
1,1.0,0.0,1,1,376,49,196,425,624,false
1,1.0,0.0,1,1,40,34,154,74,231,false
56,3.8214285,0.28954092,4,1,36,482,526,518,1047,false
1,2.0,0.0,2,2,152,67,132,219,353,false
1,1.0,0.0,1,1,13,11,132,24,158,true
1,2.0,0.0,2,2,213,1179,295,1392,1689,false
1,4.0,0.0,4,4,103,426,216,529,748,true
1,2.0,0.0,2,2,85,12,73566,97,73665,false
7,3.5714285,0.5306122,4,2,51,139,169,190,364,true
1,4.0,0.0,4,4,8,20,20084249,28,20084279,true
5,3.4,0.24000001,4,3,171,215,470,386,861,false
1,2.0,0.0,2,2,195,100,105,295,402,false
1,2.0,0.0,2,2,83,29,92,112,205,true
8,4.0,0.0,4,4,114,509,162,623,786,true
2,1.5,0.25,2,1,199,189,122,388,511,false
1,4.0,0.0,4,4,194,54,83,248,334,true
1,3.0,0.0,3,3,13,17,319,30,352,false
1,3.0,0.0,3,3,6,12,62,18,81,false
2,2.5,2.25,4,1,277,280,121,557,679,false
1,2.0,0.0,2,2,6,16,5643,22,5667,true
1,3.0,0.0,3,3,116,69,104,185,292,false
1,4.0,0.0,4,4,61,101,85,162,249,false
33,3.6969697,0.4536272,4,1,219,448,254,667,923,true
1,2.0,0.0,2,2,64,64,77,128,207,false
2,3.0,0.0,3,3,20,48,90,68,160,true
1,2.0,0.0,2,2,40,26,204,66,272,false
1,4.0,0.0,4,4,296,293,118,589,708,false
1,2.0,0.0,2,2,602,727,213,1329,1545,false
1,4.0,0.0,4,4,61,111,74,172,248,true
1,2.0,0.0,2,2,269,201,84,470,555,false
16,3.6875,0.33984375,4,2,202,809,143,1011,1156,true
1,1.0,0.0,1,1,30,7,411,37,449,false
6,2.5,0.9166667,4,1,82,110,85,192,279,false
1,4.0,0.0,4,4,82,107,73,189,263,true
5,3.6,0.64,4,2,44,152,90,196,287,true
1,2.0,0.0,2,2,92,40,93,132,226,false
