num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
12,2.9166667,0.07638888,3,2,483,160,10767,160,15799,187,Unsat
4,2.75,0.1875,3,2,483,160,12024,153,16975,173,Sat
1,3.0,0.0,3,3,483,160,0,97,652,166,Sat
3,3.0,0.0,3,3,483,160,11350,151,16257,163,Sat
4,2.75,0.1875,3,2,349,35,3458,144,7661,38,Unsat
2,3.0,0.0,3,3,349,35,6685,132,11001,40,Sat
4,3.0,0.0,3,3,349,35,3428,115,7529,38,Unsat
6,2.8333333,0.13888888,3,2,349,35,2703,144,6854,41,Unsat
3,2.6666667,0.22222221,3,2,253,27,6935,123,10910,29,Unsat
3,3.0,0.0,3,3,253,27,4156,116,8228,32,Unsat
2,2.5,0.25,3,2,253,27,3471,112,7428,32,Unsat
1,2.0,0.0,2,2,137,11,2425,112,6266,16,Unsat
1,3.0,0.0,3,3,137,11,2516,99,6247,13,Unsat
3,2.0,0.0,2,2,288,19,2793,127,6812,21,Sat
1,3.0,0.0,3,3,288,19,3185,137,7137,21,Sat
4,2.5,0.75,3,1,288,19,3547,166,7568,21,Sat
1,2.0,0.0,2,2,288,19,3329,261523,268682,21,Sat
2,2.5,0.25,3,2,310,67,13056,297,23409,76,Sat
2,2.5,0.25,3,2,310,67,10177,235,20043,73,Sat
3,3.0,0.0,3,3,224,27,6488,203,14164,35,Sat
1,2.0,0.0,2,2,224,27,2829,145,9934,32,Sat
4,2.5,0.25,3,2,224,27,2930,137,6851,29,Sat
1,3.0,0.0,3,3,224,27,3630,124,7551,30,Sat
1,3.0,0.0,3,3,209,20,4115,126,7940,23,Unsat
4,2.75,0.1875,3,2,209,20,3514,125,7297,23,Unsat
3,3.0,0.0,3,3,209,20,4190,126,8109,25,Unsat
1,3.0,0.0,3,3,209,20,0,87,623,24,Sat
1,3.0,0.0,3,3,209,20,2966,124,6857,22,Unsat
6,2.8333333,0.13888888,3,2,306,43,3476,143,7730,49,Unsat
2,3.0,0.0,3,3,306,43,6345,201670,211984,57,Unsat
3,2.6666667,0.22222221,3,2,220,30,5939,364,15614,58,Unsat
1,3.0,0.0,3,3,220,30,6468,297,15633,37,Unsat
2,3.0,0.0,3,3,507,68,8520,288,18661,77,Sat
3,2.6666667,0.88888884,4,2,507,68,8434,170,15969,77,Unsat
1,4.0,0.0,4,4,507,68,0,98,641,73,Sat
1,2.0,0.0,2,2,507,68,0,89,608,70,Sat
17,2.764706,0.17993082,3,2,589,38,7788,179,13396,43,Sat
4,2.75,0.1875,3,2,589,38,3456,144,7950,51,Sat
31,2.8387096,0.19979194,3,1,589,38,9128,203,15711,46,Sat
1,3.0,0.0,3,3,589,38,3250,116,7510,60,Sat
7,2.7142856,0.20408165,3,2,589,38,8466,133,13263,41,Sat
1,3.0,0.0,3,3,589,38,3475,294058,301749,44,Sat
2,3.0,0.0,3,3,589,38,9214,279,19926,50,Sat
3,3.0,0.0,3,3,589,38,18008,253,28415,46,Sat
1,3.0,0.0,3,3,589,38,8266,162,13734,46,Sat
1,1.0,0.0,1,1,162,15,2676,126,6399,23,Unsat
1,1.0,0.0,1,1,276,10,2622,121,6326,12,Unsat
5,3.0,0.0,3,3,317,42,22731,152,27609,47,Sat
10,2.9,0.09,3,2,317,42,12488,155,17308,54,Unsat
1,3.0,0.0,3,3,317,42,651322,0,664822,55,Unknown
4,3.0,0.0,3,3,410,44,9171,195,20627,49,Unsat
2,2.5,0.25,3,2,410,44,5346,160,9495,52,Unsat
2,2.5,0.25,3,2,240,29,3902,130,7957,34,Sat
2,2.5,0.25,3,2,240,29,2773,108,6745,32,Sat
1,1.0,0.0,1,1,240,29,2977,109,6894,32,Sat
1,2.0,0.0,2,2,240,29,0,84,616,30,Sat
1,2.0,0.0,2,2,240,29,2812,120,6780,31,Sat
1,1.0,0.0,1,1,127,44,5001,125,9165,46,Unsat
52,3.0961537,0.24075451,4,2,735,20,2988,242,8198,30,Sat
30,3.5,0.5833333,4,1,735,20,11664,228,16668,76,Sat
18,2.7777777,0.17283946,3,2,735,20,3055,184,7398,44,Sat
3,4.0,0.0,4,4,735,20,3297,200,7497,34,Sat
1,4.0,0.0,4,4,735,20,3342,137,7329,23,Sat
1,3.0,0.0,3,3,735,20,3141,144,7166,22,Sat
5,2.8,0.16,3,2,253,13,2402,130,6252,18,Unsat
2,3.0,0.0,3,3,253,13,2645,118,6380,17,Unsat
1,3.0,0.0,3,3,253,13,3807,131,7587,16,Unsat
1,1.0,0.0,1,1,147,41,4326,132,8432,43,Unsat
3,2.6666667,0.22222221,3,2,144,18,2665,121,6498,20,Unsat
1,3.0,0.0,3,3,144,18,2797,136,6653,21,Unsat
1,1.0,0.0,1,1,91,21,2460,229553,235714,22,Unsat
4,3.0,0.0,3,3,303,39,8857,301738,320339,44,Sat
2,2.5,0.25,3,2,303,39,2648,130,6830,52,Unsat
3,3.0,0.0,3,3,303,39,5533,121,9504,41,Sat
20,2.9,0.09000001,3,2,570,69,5338,179,10814,75,Sat
12,2.6666667,0.22222227,3,2,570,69,682604,0,692717,110,Unknown
13,2.9230769,0.071005926,3,2,570,69,5698,234,14697,125,Sat
24,3.0,0.0,3,3,570,69,5733,234,12529,85,Sat
5,3.0,0.0,3,3,570,69,18132,140,23239,97,Sat
6,3.0,0.0,3,3,570,69,27865,188,33268,77,Sat
2,3.0,0.0,3,3,570,69,5125,152,10233,78,Sat
30,2.8666666,0.18222234,3,1,544,54,23169,250,29881,66,Sat
5,2.6,0.24000001,3,2,544,54,11429,140,16103,124,Sat
1,3.0,0.0,3,3,544,54,636457,0,646075,61,Unknown
15,2.6666667,0.22222224,3,2,544,54,655953,0,666619,81,Unknown
6,3.0,0.0,3,3,544,54,5784,292,11026,108,Sat
8,2.875,0.109375,3,2,544,54,4180,203,9153,61,Sat
2,3.0,0.0,3,3,544,54,3585,143,8070,62,Sat
1,3.0,0.0,3,3,544,54,3888,134,8256,57,Sat
1,3.0,0.0,3,3,544,54,3664,130,8058,57,Sat
5,2.8,0.16,3,2,431,25,631199,0,640849,34,Unknown
1,3.0,0.0,3,3,431,25,0,173,868,79,Sat
1,3.0,0.0,3,3,431,25,0,315969,316514,28,Sat
1,2.0,0.0,2,2,431,25,0,209,1610,36,Sat
2,2.0,0.0,2,2,284,88,26022,264,36495,93,Sat
2,2.0,0.0,2,2,284,88,5924,154,13670,93,Sat
1,2.0,0.0,2,2,213,34,5405,136,9535,38,Unsat
1,3.0,0.0,3,3,213,34,4666,187,9056,37,Sat
1,3.0,0.0,3,3,213,34,5884,150,10266,38,Sat
1,3.0,0.0,3,3,213,34,507206,0,511284,37,Unknown
14,3.4285715,0.5306121,4,2,813,91,40254,258,46173,96,Sat
16,3.5,0.5,4,2,813,91,3522,209,8916,112,Sat
9,4.0,0.0,4,4,813,91,5451,224,10539,106,Sat
1,2.0,0.0,2,2,813,91,4568,142,9048,102,Sat
2,4.0,0.0,4,4,844,25,4075,126,8244,28,Sat
25,3.4,0.7199999,4,1,844,25,4494,205,9419,30,Sat
3,4.0,0.0,4,4,844,25,3074,128,7231,42,Sat
14,3.7857144,0.31122452,4,2,844,25,5829,149,10464,29,Sat
1,3.0,0.0,3,3,844,25,7438,130,11486,35,Sat
11,3.2727273,0.74380165,4,2,343,55,3450,132,8155,59,Sat
1,4.0,0.0,4,4,343,55,6035,303092,313571,61,Sat
5,2.6,1.04,4,1,343,55,34176,290,45100,67,Sat
1,3.0,0.0,3,3,343,55,7828,133,15651,62,Sat
1,2.0,0.0,2,2,343,55,0,87,631,57,Sat
4,2.25,0.6875,3,1,250,35,6892,112,11033,39,Unsat
1,3.0,0.0,3,3,250,35,5092,125,9275,40,Sat
1,3.0,0.0,3,3,250,35,5119,116,9255,39,Sat
1,3.0,0.0,3,3,250,35,5130,146,9274,39,Sat
2,2.0,0.0,2,2,250,35,4784,147,8946,38,Sat
1,2.0,0.0,2,2,250,35,5187,163,9437,38,Sat
43,2.9302325,0.064899966,3,2,440,56,7636,274,15047,70,Sat
3,2.6666667,0.22222221,3,2,440,56,620814,0,632790,174,Unknown
3,2.6666667,0.22222221,3,2,440,56,614256,0,627366,85,Unknown
1,3.0,0.0,3,3,440,56,655844,0,672923,117,Unknown
1,2.0,0.0,2,2,440,56,639493,0,652384,104,Unknown
1,3.0,0.0,3,3,440,56,10316,186,19556,104,Sat
4,2.25,0.6875,3,1,491,50,5382,169,9838,55,Sat
1,2.0,0.0,2,2,491,50,3164,126,7448,54,Sat
4,2.75,0.1875,3,2,491,50,6220,140,10594,52,Sat
1,2.0,0.0,2,2,491,50,4435,130,8883,54,Sat
1,2.0,0.0,2,2,491,50,7976,123,12455,52,Sat
1,3.0,0.0,3,3,491,50,7390,316885,328603,52,Sat
3,2.6666667,0.22222221,3,2,279,63,10634,279,20656,80,Unsat
1,3.0,0.0,3,3,279,63,15194,239,24538,74,Unsat
2,3.0,0.0,3,3,344,44,6785,229,14905,52,Sat
2,2.0,0.0,2,2,344,44,5074,120,12433,49,Sat
1,2.0,0.0,2,2,344,44,2954,118,7016,46,Sat
3,3.0,0.0,3,3,180,15,3598,115,7542,17,Sat
5,2.0,0.4,3,1,180,15,2694,139,6526,19,Unsat
1,2.0,0.0,2,2,180,15,2709,145,6607,18,Sat
1,3.0,0.0,3,3,180,15,2980,134,6932,17,Sat
1,1.0,0.0,1,1,210,38,2914,131,7078,40,Sat
7,2.2857144,0.4897959,3,1,210,38,4252,114,8512,40,Sat
9,2.3333333,0.22222222,3,2,210,38,3123,205,7492,43,Sat
1,3.0,0.0,3,3,210,38,3331,126,7486,42,Sat
2,2.5,0.25,3,2,210,15,3004,129,6953,19,Sat
1,4.0,0.0,4,4,210,15,3917,130,7920,17,Sat
2,3.5,0.25,4,3,210,15,3939,135,7974,17,Sat
1,4.0,0.0,4,4,210,15,4639,122,8668,17,Sat
1,2.0,0.0,2,2,210,15,2840,126,6795,17,Sat
1,4.0,0.0,4,4,210,15,4283,293893,302050,17,Sat
42,2.9285715,0.066326514,3,2,542,126,28895,509,41398,147,Unsat
8,3.0,0.0,3,3,542,126,13643,162,21766,177,Sat
1,3.0,0.0,3,3,542,126,3911,103,8319,133,Sat
9,2.8888888,0.098765425,3,2,542,126,25240,159,29895,130,Sat
2,3.0,0.0,3,3,542,126,4050,108,8629,134,Sat
1,3.0,0.0,3,3,542,126,0,86,624,129,Sat
1,2.0,0.0,2,2,542,126,3948,115,8477,127,Sat
1,3.0,0.0,3,3,542,126,0,87,621,128,Sat
1,3.0,0.0,3,3,542,126,0,89,621,127,Sat
1,3.0,0.0,3,3,278,39,4792,143,9260,44,Sat
2,2.5,0.25,3,2,278,39,619008,0,628590,42,Unknown
1,2.0,0.0,2,2,278,39,5004,192,9885,57,Sat
7,2.2857144,0.4897959,3,1,484,58,13750,150,18450,65,Sat
6,2.5,0.25,3,2,484,58,9408,184,14045,66,Sat
7,2.4285715,0.24489796,3,2,484,58,3392,128,7905,64,Sat
2,3.0,0.0,3,3,484,58,0,97,645,70,Sat
1,2.0,0.0,2,2,484,58,0,88,611,60,Sat
